submission,TP_1,FP_1,FN_1,TN_1,TP_2,FP_2,FN_2,TN_2,TP_3,FP_3,FN_3,TN_3,TP_4,FP_4,FN_4,TN_4,TP_5,FP_5,FN_5,TN_5
pearrr_original_overall,34,16,24,41,31,12,27,45,30,12,28,45,37,15,21,42,35,12,23,45
pearrr_original_male,23,12,11,20,23,7,11,25,18,8,16,24,26,11,8,21,21,7,13,25
pearrr_original_female,11,4,13,21,8,5,16,20,12,4,12,21,11,4,13,21,14,5,10,20
abethe_original_overall,32,15,26,42,33,20,25,37,36,20,22,37,33,20,25,37,33,16,25,41
abethe_original_male,22,11,12,21,21,13,13,19,25,14,9,18,22,15,12,17,20,11,14,21
abethe_original_female,10,4,14,21,12,7,12,18,11,6,13,19,11,5,13,20,13,5,11,20
amicie_original_overall,31,17,27,40,35,21,23,36,32,14,26,43,35,22,23,35,27,12,31,45
amicie_original_male,23,13,11,19,23,14,11,18,21,11,13,21,23,16,11,16,19,8,15,24
amicie_original_female,8,4,16,21,12,7,12,18,11,3,13,22,12,6,12,19,8,4,16,21
ayoub_ghriss_original_overall,36,16,22,41,32,16,26,41,34,14,24,43,35,17,23,40,36,11,22,46
ayoub_ghriss_original_male,22,14,12,18,22,10,12,22,23,9,11,23,22,12,12,20,24,7,10,25
ayoub_ghriss_original_female,14,2,10,23,10,6,14,19,11,5,13,20,13,5,11,20,12,4,12,21
lbg_original_overall,42,22,16,35,36,14,22,43,40,19,18,38,40,23,18,34,38,18,20,39
lbg_original_male,25,15,9,17,23,8,11,24,25,10,9,22,23,14,11,18,22,10,12,22
lbg_original_female,17,7,7,18,13,6,11,19,15,9,9,16,17,9,7,16,16,8,8,17
mk_original_overall,35,14,23,43,32,21,26,36,40,21,18,36,31,16,27,41,24,11,34,46
mk_original_male,22,10,12,22,21,15,13,17,26,14,8,18,20,13,14,19,17,7,17,25
mk_original_female,13,4,11,21,11,6,13,19,14,7,10,18,11,3,13,22,7,4,17,21
nguigui_original_overall,35,23,23,34,37,21,21,36,39,23,19,34,36,21,22,36,32,20,26,37
nguigui_original_male,23,15,11,17,24,14,10,18,24,14,10,18,24,16,10,16,21,12,13,20
nguigui_original_female,12,8,12,17,13,7,11,18,15,9,9,16,12,5,12,20,11,8,13,17
Slasnista_original_overall,33,14,25,43,34,15,24,42,37,17,21,40,36,16,22,41,33,12,25,45
Slasnista_original_male,23,11,11,21,23,10,11,22,24,9,10,23,24,11,10,21,22,7,12,25
Slasnista_original_female,10,3,14,22,11,5,13,20,13,8,11,17,12,5,12,20,11,5,13,20
vzantedeschi_original_overall,25,14,33,43,26,13,32,44,25,13,33,44,27,12,31,45,27,14,31,43
vzantedeschi_original_male,15,11,19,21,17,9,17,23,16,10,18,22,16,10,18,22,17,10,17,22
vzantedeschi_original_female,10,3,14,22,9,4,15,21,9,3,15,22,11,2,13,23,10,4,14,21
wwwwmmmm_original_overall,41,30,17,27,43,23,15,34,44,28,14,29,40,28,18,29,42,20,16,37
wwwwmmmm_original_male,26,19,8,13,27,14,7,18,29,14,5,18,26,18,8,14,26,13,8,19
wwwwmmmm_original_female,15,11,9,14,16,9,8,16,15,14,9,11,14,10,10,15,16,7,8,18
